state,date,disasters_count,heat_related_disaster_count,heat_related_area_count,heat_related_any,heat_related_counties_affected
AK,1953-10-30 00:00:00+00:00,1,0,0,0,0
AK,1954-11-10 00:00:00+00:00,1,0,0,0,0
AK,1955-12-22 00:00:00+00:00,1,0,0,0,0
AK,1964-03-28 00:00:00+00:00,1,0,0,0,0
AK,1967-08-17 00:00:00+00:00,1,0,0,0,0
AK,1969-12-19 00:00:00+00:00,1,1,1,1,0
AK,1970-06-26 00:00:00+00:00,1,1,1,1,0
AK,1971-06-11 00:00:00+00:00,1,1,1,1,0
AK,1971-06-18 00:00:00+00:00,1,1,1,1,0
AK,1973-05-24 00:00:00+00:00,1,1,1,1,0
AK,1973-11-07 00:00:00+00:00,1,0,0,0,0
AK,1974-06-24 00:00:00+00:00,1,0,0,0,0
AK,1974-09-14 00:00:00+00:00,1,0,0,0,0
AK,1974-11-14 00:00:00+00:00,1,0,0,0,0
AK,1975-12-18 00:00:00+00:00,1,1,1,1,0
AK,1986-10-27 00:00:00+00:00,2,0,0,0,0
AK,1988-03-11 00:00:00+00:00,1,1,1,1,0
AK,1989-05-10 00:00:00+00:00,1,0,0,0,0
AK,1989-06-10 00:00:00+00:00,1,0,0,0,0
AK,1990-07-05 00:00:00+00:00,1,1,1,1,0
AK,1991-05-30 00:00:00+00:00,1,0,0,0,0
AK,1991-07-03 00:00:00+00:00,1,1,1,1,0
AK,1994-09-13 00:00:00+00:00,1,1,3,1,2
AK,1995-10-13 00:00:00+00:00,1,0,0,0,0
AK,1996-06-05 00:00:00+00:00,1,1,1,1,0
AK,1996-06-07 00:00:00+00:00,1,1,1,1,1
AK,2000-02-17 00:00:00+00:00,1,1,14,1,14
AK,2001-06-30 00:00:00+00:00,1,1,1,1,0
AK,2002-06-26 00:00:00+00:00,1,0,0,0,0
AK,2002-11-08 00:00:00+00:00,1,0,0,0,0
AK,2002-12-04 00:00:00+00:00,1,1,3,1,2
AK,2003-04-26 00:00:00+00:00,1,1,3,1,3
AK,2004-07-01 00:00:00+00:00,1,1,1,1,1
AK,2004-08-10 00:00:00+00:00,1,1,1,1,1
AK,2004-09-01 00:00:00+00:00,1,1,1,1,0
AK,2004-11-15 00:00:00+00:00,1,1,5,1,5
AK,2005-03-14 00:00:00+00:00,1,1,1,1,1
AK,2005-12-09 00:00:00+00:00,1,1,4,1,4
AK,2006-06-08 00:00:00+00:00,1,1,1,1,1
AK,2006-08-04 00:00:00+00:00,1,0,0,0,0
AK,2006-10-16 00:00:00+00:00,1,1,3,1,3
AK,2006-10-27 00:00:00+00:00,1,1,1,1,1
AK,2006-12-08 00:00:00+00:00,1,1,3,1,3
AK,2007-06-22 00:00:00+00:00,1,1,1,1,1
AK,2008-09-26 00:00:00+00:00,1,1,4,1,4
AK,2009-05-14 00:00:00+00:00,1,1,1,1,1
AK,2009-06-11 00:00:00+00:00,1,0,0,0,0
AK,2009-12-18 00:00:00+00:00,1,1,1,1,1
AK,2011-05-22 00:00:00+00:00,1,1,1,1,1
AK,2011-06-10 00:00:00+00:00,1,0,0,0,0
AK,2011-12-22 00:00:00+00:00,1,1,4,1,4
AK,2012-02-02 00:00:00+00:00,1,1,1,1,1
AK,2012-11-27 00:00:00+00:00,1,1,5,1,5
AK,2013-06-25 00:00:00+00:00,1,0,0,0,0
AK,2014-01-16 00:00:00+00:00,1,0,0,0,0
AK,2014-01-23 00:00:00+00:00,1,1,3,1,3
AK,2015-06-15 00:00:00+00:00,1,1,1,1,1
AK,2015-06-16 00:00:00+00:00,1,1,1,1,1
AK,2015-10-30 00:00:00+00:00,1,0,0,0,0
AK,2016-02-17 00:00:00+00:00,1,1,1,1,1
AK,2017-12-20 00:00:00+00:00,1,1,1,1,1
AK,2018-06-08 00:00:00+00:00,1,0,0,0,0
AK,2018-09-05 00:00:00+00:00,1,0,0,0,0
AK,2018-11-30 00:00:00+00:00,1,0,0,0,0
AK,2019-01-31 00:00:00+00:00,1,0,0,0,0
AK,2019-06-28 00:00:00+00:00,1,1,1,1,1
AK,2019-08-20 00:00:00+00:00,1,1,1,1,1
AK,2019-08-22 00:00:00+00:00,1,1,1,1,1
AK,2020-03-13 00:00:00+00:00,1,0,0,0,0
AK,2020-04-09 00:00:00+00:00,1,0,0,0,0
AK,2021-02-17 00:00:00+00:00,1,0,0,0,0
AK,2022-01-15 00:00:00+00:00,1,1,1,1,1
AK,2022-03-14 00:00:00+00:00,1,1,1,1,1
AK,2022-03-24 00:00:00+00:00,1,1,3,1,3
AK,2022-06-26 00:00:00+00:00,1,1,2,1,2
AK,2022-07-26 00:00:00+00:00,1,0,0,0,0
AK,2022-08-26 00:00:00+00:00,1,0,0,0,0
AK,2022-09-23 00:00:00+00:00,1,1,4,1,4
